,White_Age0_14_MaleRate,White_Age15_24_MaleRate,White_Age25_44_MaleRate,White_Age45_64_MaleRate,White_Age65Plus_MaleRate,White_Total_MaleRate
1238,,,,,,148.73
1239,,,,135.57,129.99,61.88
1240,,,,64.52,105.48,36.69
1241,,,,70.55,139.23,42.67
1242,,,,68.92,116.6,32.66
1243,,,,79.96,150.67,40.13
1244,,,,,,29.9
1245,,,,,,
1246,,,,64.64,152.39,45.71
1247,,,,,,
1248,,,,67.1,83.99,34.51
1249,,,,,,
1250,,,,68.63,84.45,35.05
1251,,,,,,
1252,,,,,319.9,64.32
1253,,,,,,
1254,,,,96.83,,53.82
1255,,,,,,
1256,,,,,,
1257,,,,,,37.28
1258,,,,,140.34,34.99
1259,,,,62.56,194.9,44.83
1260,,,,94.82,,36.88
1261,,,,56.15,181.83,38.92
1262,,,,76.75,180.79,53.86
1263,,,,,205.77,38.93
1264,,,,,,
1265,,,,85.85,314.77,59.15
1266,,,,,,32.42
1267,,,,84.24,116.91,42.59
1268,,,,112.19,160.21,63.09
1269,,,,44.25,,22.95
1270,,,,,,
1271,,,,92.75,137.26,54.42
1272,,,,,,30.46
1273,,,,76.35,107.55,44.47
1274,,,,,,
1275,,,,106.28,146.67,60.36
1276,,,,,,36.03
1277,,,,48.95,112.05,33.36
1278,,,,,,
1279,,,,,,
1280,,,,113.57,275.38,86.4
1281,,,,,,
1282,,,,82.54,,34.86
1283,,,,,,
1284,,,,59.13,128.51,38.78
1285,,,,,,38.35
1286,,,,,,
1287,,,,,,
1288,,,,,245.09,50.6
1289,,,,,,39.31
1290,,,,62.6,131.19,36.42
1291,,,,67.67,162.39,49.43
1292,,,,77.81,156.35,47.87
1293,,,,65.66,163.13,40.38
1294,,,,74.19,83.44,35.21
1295,,,,117.22,169.07,66.35
1296,,,,58.58,119.44,39.24
1297,,,,,,
1298,,,,,,
1299,,,,69.17,,34.53
1300,,,,104.43,,45.95
1301,,,,106.06,149.16,61.21
1302,,,,,,
1303,,,,,324.63,64.14
1304,,,,,,
1305,,,,,,
1306,,,,42.03,66.22,24.23
1307,,,,86.15,229.18,73.2
1308,,,,65.32,167.37,41.76
1309,,,,86.0,,33.81
1310,,,,,,36.4
1311,,,,,,94.1
1312,,,,,,31.74
1313,,,,68.79,111.92,38.87
1314,,,,81.3,166.19,49.23
1315,,,,43.28,174.04,32.11
1316,,,,36.9,236.71,38.31
1317,,,,,,25.93
1318,,,,,,
1319,,,,77.25,163.6,49.91
1320,,,,,,
1321,,,,51.34,155.37,40.5
1322,,,,,,
1323,,,,54.79,160.97,42.38
1324,,,,,,
1325,,,,91.3,203.51,60.42
1326,,,,,,
1327,,,,116.44,196.08,64.96
1328,,,,,,
1329,,,,,,
1330,,,,131.16,,62.05
1331,,,,,,38.63
1332,,,,66.41,158.29,39.61
1333,,,,,183.67,31.93
1334,,,,54.98,182.2,37.22
1335,,,,148.12,145.84,67.09
1336,,,,79.09,100.69,36.97
1337,,,,,,
1338,,,,,,
1339,,,,,338.37,63.73
1340,,,,110.05,153.81,56.06
1341,,,,123.14,154.42,67.29
1342,,,,121.49,134.86,59.33
1343,,,,,,
1344,,,,86.63,206.34,63.48
1345,,,,106.4,,50.21
1346,,,,95.27,177.59,61.89
1347,,,,,,
1348,,,,129.41,172.78,72.1
1349,,,,135.65,,64.25
1350,,,,70.47,,36.49
1351,,,,,,
1352,,,,,,
1353,,,,53.06,230.92,53.23
1354,,,,113.85,,71.74
1355,,,,89.73,286.61,73.95
1356,,,,,,85.3
1357,,,,71.09,183.86,51.44
1358,,,,,,61.11
1359,,,,,,
1360,,,,,,
1361,,,,,258.11,58.45
1362,,,,,,49.62
1363,,,,63.73,167.58,42.08
1364,,,,83.28,174.47,54.52
1365,,,,74.31,167.95,47.63
1366,,,,47.44,156.97,33.79
1367,,,,124.5,162.5,62.97
1368,,,,131.06,160.87,71.11
1369,,,,88.49,148.76,53.52
1370,,,,,,
1371,,,,,,
1372,,,,,147.98,37.79
1373,,,,,248.43,50.9
1374,,,,130.8,152.74,69.44
1375,,,,,,
1376,,,,91.24,205.4,60.45
1377,,,,,,
1378,,,,,,
1379,,,,125.44,134.92,60.8
1380,,,,,324.02,73.0
1381,,,,57.64,158.55,37.6
1382,,,,80.02,325.62,76.52
1383,,,,132.37,,62.23
1384,,,,,,
1385,,,,98.28,,44.28
1386,,,,100.75,166.49,57.01
1387,,,,87.85,193.8,54.5
1388,,,,86.87,163.4,42.61
1389,,,,90.88,164.25,44.3
1390,,,,99.88,,40.54
1391,,,,,283.79,58.56
1392,,,,64.72,226.5,54.35
1393,,,,,,109.22
1394,,,,63.34,206.01,50.9
1395,,,,,,
1396,,,,64.98,210.86,52.02
1397,,,,,,
1398,,,,,173.57,40.61
1399,,,,,,
1400,,,,,324.7,63.55
1401,,,,,,
1402,,,,,,
1403,,,,,,37.74
1404,,,,,218.4,53.55
1405,,,,82.03,180.56,46.31
1406,,,,88.74,300.66,63.09
1407,,,,73.02,130.27,36.22
1408,,,,100.14,158.78,55.7
1409,,,,59.78,119.13,34.01
1410,,,,,,
1411,,,,103.6,277.11,58.06
1412,,,,129.31,234.67,66.88
1413,,,,108.39,229.66,65.01
1414,,,,112.73,210.63,68.0
1415,,,,85.32,177.51,57.7
1416,,,,,,
1417,,,,112.83,315.2,88.07
1418,,,,122.98,131.39,59.14
1419,,,,95.99,151.54,57.52
1420,,,,,,
1421,,,,108.47,160.83,62.99
1422,,,,,,50.21
1423,,,,71.86,212.43,56.63
1424,,,,,,
1425,,,,,,
1426,,,,50.89,192.28,44.91
1427,,,,,,55.85
1428,,,,143.6,,51.58
1429,,,,226.49,,128.56
1430,,,,88.7,215.98,61.36
1431,,,,,189.3,50.92
1432,,,,,,52.86
1433,,,,,,
1434,,,,144.67,282.65,81.92
1435,,,,,236.38,59.35
1436,,,,86.2,227.17,56.41
1437,,,,70.85,212.44,55.42
1438,,,,86.01,175.55,51.92
1439,,,,80.61,193.92,47.26
1440,,,,118.42,176.8,62.0
1441,,,,114.82,221.12,68.65
1442,,,,51.5,217.61,53.69
1443,,,,,,52.86
1444,,,,,,
1445,,,,59.63,209.25,50.28
1446,,,,126.32,176.2,67.64
1447,,,,103.77,158.99,61.46
1448,,,,,,95.55
1449,,,,,167.25,39.21
1450,,,,,,
1451,,,,,,
1452,,,,82.31,182.3,58.71
1453,,,,,267.02,55.12
1454,,,,82.57,181.45,47.24
1455,,,,147.28,,50.56
1456,,,,,,36.61
1457,,,,,531.77,111.03
1458,,,,125.66,,58.4
1459,,,,92.38,233.71,63.89
1460,,,2.32,112.82,215.31,64.92
1461,,,,92.67,215.86,49.84
1462,,,,117.76,270.32,63.77
1463,,,,76.6,195.5,43.66
1464,,,,,,
1465,,,,139.63,212.51,77.26
1466,,,,,,93.53
1467,,,,145.0,189.35,75.74
1468,,,,,,
1469,,,,147.76,194.81,77.09
1470,,,,,,107.44
1471,,,,113.8,174.75,62.52
1472,,,,,,254.25
1473,,,,179.56,321.69,98.86
1474,,,,,,
1475,,,,,,
1476,,,,,,39.34
1477,,,,142.84,,72.27
1478,,,,121.83,240.76,65.05
1479,,,,99.73,277.95,62.27
1480,,,,153.0,252.99,74.6
1481,,,,146.95,211.18,77.42
1482,,,,117.92,195.47,61.29
1483,,,,,,
1484,,,,122.18,301.3,64.68
1485,,,,,233.57,62.27
1486,,,,85.51,190.54,51.52
1487,,,,70.04,256.43,59.71
1488,,,,81.0,108.58,42.85
1489,,,,,,
1490,,,,97.91,237.8,68.81
1491,,,,92.03,,48.87
1492,,,,105.05,236.79,74.98
1493,,,,,,
1494,,,,48.87,208.74,51.59
1495,,,,,229.15,83.92
1496,,,,137.68,159.26,66.07
1497,,,,,,
1498,,,,,,
1499,,,,112.45,261.63,78.05
1500,,,,129.1,427.78,101.68
1501,,,,75.09,221.01,61.85
1502,,,,,357.83,134.1
1503,,,,138.98,153.9,66.14
1504,,,,124.87,,63.76
1505,,,,253.04,348.43,104.18
1506,,,,,,
1507,,,,,,46.06
1508,,,,159.5,,74.33
1509,,,,124.59,159.95,57.2
1510,,,,139.11,232.27,81.52
1511,,,,111.0,221.43,65.13
1512,,,,108.85,236.43,60.29
1513,,,,80.42,197.76,54.14
1514,,,,73.81,283.16,63.0
1515,,,,146.35,147.59,71.03
1516,,,,253.04,348.43,104.18
1517,,,,,,
1518,,,,137.0,177.26,71.92
1519,,,,110.67,211.02,65.75
1520,,,,50.75,213.64,53.07
1521,,,,,,95.95
1522,,,,108.92,175.15,60.84
1523,,,,,,
1524,,,,,,
1525,,,,82.14,99.8,41.95
1526,,,,115.8,277.78,85.29
1527,,,,118.07,220.29,62.06
1528,,,,,225.92,61.05
1529,,,,,,36.59
1530,,,,,,
1531,,,,85.19,,46.05
1532,,,,140.02,247.44,80.1
1533,,,,,,
1534,,,,,,
1535,,,,,,
1536,,,,,,
1537,,,,,,
1538,,,,,,
1539,,,,,,
1540,,,,,,
1541,,,,,,
1542,,,,,,
1543,,,,,,
1544,,,,,,
1545,,,,,,
1546,,,,,,
1547,,,,,,
1548,,,,,,
1549,,,,,,
1550,,,,,,
1551,,,,,,
1552,,,,,,
1553,,,,,,
1554,,,,,,
1555,,,,,,
1556,,,,,,
1557,,,,,,
1558,,,,,,
1559,,,,,,
1560,,,,,,
1561,,,,,,
1562,,,,,,
1563,,,,,,
1564,,,,,,
1565,,,,,,
1566,,,,,,
1567,,,,,,
1568,,,,,,
1569,,,,,,
1570,,,,,,
1571,,,,,,
1572,,,,,,
1573,,,,,,
1574,,,,,,
1575,,,,,,
1576,,,,,,
1577,,,,,,
1578,,,,,,
1579,,,,,,
1580,,,,,,
1581,,,,,,
1582,,,,,,
1583,,,,,,
1584,,,,,,
1585,,,,,,
1586,,,,,,
1587,,,,,,
1588,,,,,,
1589,,,,,,
1590,,,,,,
1591,,,,,,
1592,,,,,,
1593,,,,,,
1594,,,,,,
1595,,,,,,
1596,,,,,,
1597,,,,,,
1598,,,,,,
1599,,,,,,
1600,,,,,,
1601,,,,,,
1602,,,,,,
1603,,,,,,
1604,,,,,,
1605,,,,,,
1606,,,,,,
1607,,,,,,
1608,,,,,,
1609,,,,,,
1610,,,,,,
1611,,,,,,
1612,,,,,,
1613,,,,,,
1614,,,,,,
1615,,,,,,
1616,,,,,,
1617,,,,,,
1618,,,,,,
1619,,,,,,
1620,,,,,,
1621,,,,,,
1622,,,,,,
1623,,,,,,
1624,,,,,,
1625,,,,,,
1626,,,,,,
1627,,,,,,
1628,,,,,,
1629,,,,,,
1630,,,,,,
1631,,,,,,
1632,,,,,,
1633,,,,,,
1634,,,,,,
1635,,,,,,
1636,,,,,,
1637,,,,,,
1638,,,,,,
1639,,,,,,
1640,,,,,,
1641,,,,,,
1642,,,,,,
1643,,,,,,
1644,,,,,,
1645,,,,,,
1646,,,,,,
1647,,,,,,
1648,,,,,,
1649,,,,,,
1650,,,,,,
1651,,,,,,
1652,,,,,,
1653,,,,,,
1654,,,,,,
1655,,,,,,
1656,,,,,,
1657,,,,,,
1658,,,,,,
1659,,,,,,
1660,,,,,,
1661,,,,,,
1662,,,,,,
1663,,,,,,
1664,,,,,,
1665,,,,,,
1666,,,,,,
1667,,,,,,
1668,,,,,,
1669,,,,,,
1670,,,,,,
1671,,,,,,
1672,,,,,,
1673,,,,,,
1674,,,,,,
1675,,,,,,
1676,,,,,,
1677,,,,,,
1678,,,,,,
1679,,,,,,
1680,,,,,,
1681,,,,,,
1682,,,,,,
1683,,,,,,
1684,,,,,,
1685,,,,,,
1686,,,,,,
1687,,,,,,
1688,,,,,,
1689,,,,,,
1690,,,,,,
1691,,,,,,
1692,,,,,,
1693,,,,,,
1694,,,,,,
1695,,,,,,
1696,,,,,,
1697,,,,,,
1698,,,,,,
1699,,,,,,
1700,,,,,,
1701,,,,,,
1702,,,,,,
1703,,,,,,
1704,,,,,,
1705,,,,,,
1706,,,,,,
1707,,,,,,
1708,,,,,,
1709,,,,,,
1710,,,,,,
1711,,,,,,
1712,,,,,,
1713,,,,,,
1714,,,,,,
1715,,,,,,
1716,,,,,,
1717,,,,,,
1718,,,,,,
1719,,,,,,
1720,,,,,,
1721,,,,,,
1722,,,,,,
1723,,,,,,
1724,,,,,,
1725,,,,,,
1726,,,,,,
1727,,,,,,
1728,,,,,,
1729,,,,,,
1730,,,,,,
1731,,,,,,
1732,,,,,,
1733,,,,,,
1734,,,,,,
1735,,,,,,
1736,,,,,,
1737,,,,,,
1738,,,,,,
1739,,,,,,
1740,,,,,,
1741,,,,,,
1742,,,,,,
1743,,,,,,
1744,,,,,,
1745,,,,,,
1746,,,,,,
1747,,,,,,
1748,,,,,,
1749,,,,,,
1750,,,,,,
1751,,,,,,
1752,,,,,,
1753,,,,,,
1754,,,,,,
1755,,,,,,
1756,,,,,,
1757,,,,,,
1758,,,,,,
1759,,,,,,
1760,,,,,,
1761,,,,,,
1762,,,,,,
1763,,,,,,
1764,,,,,,
1765,,,,,,
1766,,,,,,
1767,,,,,,
1768,,,,,,
1769,,,,,,
1770,,,,,,
1771,,,,,,
1772,,,,,,
1773,,,,,,
1774,,,,,,
1775,,,,,,
1776,,,,,,
1777,,,,,,
1778,,,,,,
1779,,,,,,
1780,,,,,,
1781,,,,,,
1782,,,,,,
1783,,,,,,
1784,,,,,,
1785,,,,,,
1786,,,,,,
1787,,,,,,
1788,,,,,,
1789,,,,,,
1790,,,,,,
1791,,,,,,
1792,,,,,,
1793,,,,,,
1794,,,,,,
1795,,,,,,
1796,,,,,,
1797,,,,,,
1798,,,,,,
1799,,,,,,
1800,,,,,,
1801,,,,,,
1802,,,,,,
1803,,,,,,
1804,,,,,,
1805,,,,,,
1806,,,,,,
1807,,,,,,
1808,,,,,,
1809,,,,,,
1810,,,,,,
1811,,,,,,
1812,,,,,,
1813,,,,,,
1814,,,,,,
1815,,,,,,
1816,,,,,,
1817,,,,,,
1818,,,,,,
1819,,,,,,
1820,,,,,,
1821,,,,,,
1822,,,,,,
1823,,,,,,
1824,,,,,,
1825,,,,,,
1826,,,,,,
1827,,,,,,
1828,,,,,,
1829,,,,,,
1830,,,,,,
1831,,,,,,
1832,,,,,,
1833,,,,,,
1834,,,,,,
1835,,,,,,
1836,,,,,,
1837,,,,,,
1838,,,,,,
1839,,,,,,
1840,,,,,,
1841,,,,,,
1842,,,,,,
1843,,,,,,
1844,,,,,,
1845,,,,,,
1846,,,,,,
1847,,,,,,
1848,,,,,,
1849,,,,,,
1850,,,,,,
1851,,,,,,
1852,,,,,,
1853,,,,,,
1854,,,,,,
1855,,,,,,
1856,,,,,,
1857,,,,,,
1858,,,,,,
1859,,,,,,
1860,,,,,,
1861,,,,,,
1862,,,,,,
1863,,,,,,
1864,,,,,,
1865,,,,,,
1866,,,,,,
1867,,,,,,
1868,,,,,,
1869,,,,,,
1870,,,,,,
1871,,,,,,
1872,,,,,,
1873,,,,,,
1874,,,,,,
1875,,,,,,
1876,,,,,,
1877,,,,,,
1878,,,,,,
1879,,,,,,
1880,,,,,,
1881,,,,,,
1882,,,,,,
1883,,,,,,
1884,,,,,,
1885,,,,,,
1886,,,,,,
1887,,,,,,
1888,,,,,,
1889,,,,,,
1890,,,,,,
1891,,,,,,
1892,,,,,,
1893,,,,,,
1894,,,,,,
1895,,,,,,
1896,,,,,,
1897,,,,,,
1898,,,,,,
1899,,,,,,
1900,,,,,,
1901,,,,,,
1902,,,,,,
1903,,,,,,
1904,,,,,,
1905,,,,,,
1906,,,,,,
1907,,,,,,
1908,,,,,,
1909,,,,,,
1910,,,,,,
1911,,,,,,
1912,,,,,,
1913,,,,,,
1914,,,,,,
1915,,,,,,
1916,,,,,,
1917,,,,,,
1918,,,,,,
1919,,,,,,
1920,,,,,,
1921,,,,,,
1922,,,,,,
1923,,,,,,
1924,,,,,,
1925,,,,,,
1926,,,,,,
1927,,,,,,
1928,,,,,,
1929,,,,,,
1930,,,,,,
1931,,,,,,
1932,,,,,,
1933,,,,,,
1934,,,,,,
1935,,,,,,
1936,,,,,,
1937,,,,,,
1938,,,,,,
1939,,,,,,
1940,,,,,,
1941,,,,,,
1942,,,,,,
1943,,,,,,
1944,,,,,,
1945,,,,,,
1946,,,,,,
1947,,,,,,
1948,,,,,,
1949,,,,,,
1950,,,,,,
1951,,,,,,
1952,,,,,,
1953,,,,,,
1954,,,,,,
1955,,,,,,
1956,,,,,,
1957,,,,,,
1958,,,,,,
1959,,,,,,
1960,,,,,,
1961,,,,,,
1962,,,,,,
1963,,,,,,
1964,,,,,,
1965,,,,,,
1966,,,,,,
1967,,,,,,
1968,,,,,,
1969,,,,,,
1970,,,,,,
1971,,,,,,
1972,,,,,,
1973,,,,,,
1974,,,,,,
1975,,,,,,
1976,,,,,,
1977,,,,,,
1978,,,,,,
1979,,,,,,
1980,,,,,,
1981,,,,,,
1982,,,,,,
1983,,,,,,
1984,,,,,,
1985,,,,,,
1986,,,,,,
1987,,,,,,
1988,,,,,,
1989,,,,,,
1990,,,,,,
1991,,,,,,
1992,,,,,,
1993,,,,,,
1994,,,,,,
1995,,,,,,
1996,,,,,,
1997,,,,,,
1998,,,,,,
1999,,,,,,
2000,,,,,,
2001,,,,,,
2002,,,,,,
2003,,,,,,
2004,,,,,,
2005,,,,,,
2006,,,,,,
2007,,,,,,
2008,,,,,,
2009,,,,,,
2010,,,,,,
2011,,,,,,
2012,,,,,,
2013,,,,,,
2014,,,,,,
2015,,,,,,
2016,,,,,,
2017,,,,,,
2018,,,,,,
2019,,,,,,
2020,,,,,,
2021,,,,,,
2022,,,,,,
2023,,,,,,
2024,,,,,,
2025,,,,,,
2026,,,,,,
2027,,,,,,
2028,,,,,,
2029,,,,,,
2030,,,,,,
2031,,,,,,
2032,,,,,,
2033,,,,,,
2034,,,,,,
2035,,,,,,
2036,,,,,,
2037,,,,,,
2038,,,,,,
2039,,,,,,
2040,,,,,,
2041,,,,,,
2042,,,,,,
2043,,,,,,
2044,,,,,,
2045,,,,,,
2046,,,,,,
2047,,,,,,
2048,,,,,,
2049,,,,,,
2050,,,,,,
2051,,,,,,
2052,,,,,,
2053,,,,,,
2054,,,,,,
2055,,,,,,
2056,,,,,,
2057,,,,,,
2058,,,,,,
2059,,,,,,
2060,,,,,,
2061,,,,,,
2062,,,,,,
2063,,,,,,
2064,,,,,,
2065,,,,,,
2066,,,,,,
2067,,,,,,
2068,,,,,,
2069,,,,,,
2070,,,,,,
2071,,,,,,
2072,,,,,,
2073,,,,,,
2074,,,,,,
2075,,,,,,
2076,,,,,,
2077,,,,,,
2078,,,,,,
2079,,,,,,
2080,,,,,,
2081,,,,,,
2082,,,,,,
2083,,,,,,
2084,,,,,,
2085,,,,,,
2086,,,,,,
2087,,,,,,
2088,,,,,,
2089,,,,,,
2090,,,,,,
2091,,,,,,
2092,,,,,,
2093,,,,,,
2094,,,,,,
2095,,,,,,
2096,,,,,,
2097,,,,,,
2098,,,,,,
2099,,,,,,
2100,,,,,,
2101,,,,,,
2102,,,,,,
2103,,,,,,
2104,,,,,,
2105,,,,,,
2106,,,,,,
2107,,,,,,
2108,,,,,,
2109,,,,,,
2110,,,,,,
2111,,,,,,
2112,,,,,,
2113,,,,,,
2114,,,,,,
2115,,,,,,
2116,,,,,,
2117,,,,,,
2118,,,,,,
2119,,,,,,
2120,,,,,,
2121,,,,,,
2122,,,,,,
2123,,,,,,
2124,,,,,,
2125,,,,,,
2126,,,,,,
2127,,,,,,
2128,,,,,,
2129,,,,,,
2130,,,,,,
2131,,,,,,
2132,,,,,,
2133,,,,,,
2134,,,,,,
2135,,,,,,
2136,,,,,,
2137,,,,,,
2138,,,,,,
2139,,,,,,
2140,,,,,,
2141,,,,,,
2142,,,,,,
2143,,,,,,
2144,,,,,,
2145,,,,,,
2146,,,,,,
2147,,,,,,
2148,,,,,,
2149,,,,,,
2150,,,,,,
2151,,,,,,
2152,,,,,,
2153,,,,,,
2154,,,,,,
2155,,,,,,
2156,,,,,,
2157,,,,,,
2158,,,,,,
2159,,,,,,
2160,,,,,,
2161,,,,,,
2162,,,,,,
2163,,,,,,
2164,,,,,,
2165,,,,,,
2166,,,,,,
2167,,,,,,
2168,,,,,,
2169,,,,,,
2170,,,,,,
2171,,,,,,
2172,,,,,,
2173,,,,,,
2174,,,,,,
2175,,,,,,
2176,,,,,,
2177,,,,,,
2178,,,,,,
2179,,,,,,
2180,,,,,,
2181,,,,,,
2182,,,,,,
2183,,,,,,
2184,,,,,,
2185,,,,,,
2186,,,,,,
2187,,,,,,
2188,,,,,,
2189,,,,,,
2190,,,,,,
2191,,,,,,
2192,,,,,,
2193,,,,,,
2194,,,,,,
2195,,,,,,
2196,,,,,,
2197,,,,,,
2198,,,,,,
2199,,,,,,
2200,,,,,,
2201,,,,,,
2202,,,,,,
2203,,,,,,
2204,,,,,,
2205,,,,,,
2206,,,,,,
2207,,,,,,
2208,,,,,,
2209,,,,,,
2210,,,,,,
2211,,,,,,
2212,,,,,,
2213,,,,,,
2214,,,,,,
2215,,,,,,
2216,,,,,,
2217,,,,,,
2218,,,,,,
2219,,,,,,
2220,,,,,,
2221,,,,,,
2222,,,,,,
2223,,,,,,
2224,,,,,,
2225,,,,,,
2226,,,,,,
2227,,,,,,
2228,,,,,,
2229,,,,,,
2230,,,,,,
2231,,,,,,
2232,,,,,,
2233,,,,,,
2234,,,,,,
2235,,,,,,
2236,,,,,,
2237,,,,,,
2238,,,,,,
2239,,,,,,
2240,,,,,,
2241,,,,,,
2242,,,,,,
2243,,,,,,
2244,,,,,,
2245,,,,,,
2246,,,,,,
2247,,,,,,
2248,,,,,,
2249,,,,,,
2250,,,,,,
2251,,,,,,
2252,,,,,,
2253,,,,,,
2254,,,,,,
2255,,,,,,
2256,,,,,,
2257,,,,,,
2258,,,,,,
2259,,,,,,
2260,,,,,,
2261,,,,,,
2262,,,,,,
2263,,,,,,
2264,,,,,,
2265,,,,,,
2266,,,,,,
2267,,,,,,
2268,,,,,,
2269,,,,,,
2270,,,,,,
2271,,,,,,
2272,,,,,,
2273,,,,,,
2274,,,,,,
2275,,,,,,
2276,,,,,,
2277,,,,,,
2278,,,,,,
2279,,,,,,
2280,,,,,,
2281,,,,,,
2282,,,,,,
2283,,,,,,
2284,,,,,,
2285,,,,,,
2286,,,,,,
2287,,,,,,
2288,,,,,,
2289,,,,,,
2290,,,,,,
2291,,,,,,
2292,,,,,,
2293,,,,,,
2294,,,,,,
2295,,,,,,
2296,,,,,,
2297,,,,,,
2298,,,,,,
2299,,,,,,
2300,,,,,,
2301,,,,,,
2302,,,,,,
2303,,,,,,
2304,,,,,,
2305,,,,,,
2306,,,,,,
2307,,,,,,
2308,,,,,,
2309,,,,,,
2310,,,,,,
2311,,,,,,
2312,,,,,,
2313,,,,,,
2314,,,,,,
2315,,,,,,
2316,,,,,,
2317,,,,,,
2318,,,,,,
2319,,,,,,
2320,,,,,,
2321,,,,,,
2322,,,,,,
2323,,,,,,
2324,,,,,,
2325,,,,,,
2326,,,,,,
2327,,,,,,
2328,,,,,,
2329,,,,,,
2330,,,,,,
2331,,,,,,
2332,,,,,,
2333,,,,,,
2334,,,,,,
2335,,,,,,
2336,,,,,,
2337,,,,,,
2338,,,,,,
2339,,,,,,
2340,,,,,,
2341,,,,,,
2342,,,,,,
2343,,,,,,
2344,,,,,,
2345,,,,,,
2346,,,,,,
2347,,,,,,
2348,,,,,,
2349,,,,,,
2350,,,,,,
2351,,,,,,
2352,,,,,,
2353,,,,,,
2354,,,,,,
2355,,,,,,
2356,,,,,,
2357,,,,,,
2358,,,,,,
2359,,,,,,
2360,,,,,,
2361,,,,,,
2362,,,,,,
2363,,,,,,
2364,,,,,,
2365,,,,,,
2366,,,,,,
2367,,,,,,
2368,,,,,,
2369,,,,,,
2370,,,,,,
2371,,,,,,
2372,,,,,,
2373,,,,,,
2374,,,,,,
2375,,,,,,
2376,,,,,,
2377,,,,,,
2378,,,,,,
2379,,,,,,
2380,,,,,,
2381,,,,,,
2382,,,,,,
2383,,,,,,
2384,,,,,,
2385,,,,,,
2386,,,,,,
2387,,,,,,
2388,,,,,,
2389,,,,,,
2390,,,,,,
2391,,,,,,
2392,,,,,,
2393,,,,,,
2394,,,,,,
2395,,,,,,
2396,,,,,,
2397,,,,,,
2398,,,,,,
2399,,,,,,
2400,,,,,,
2401,,,,,,
2402,,,,,,
2403,,,,,,
2404,,,,,,
2405,,,,,,
2406,,,,,,
2407,,,,,,
2408,,,,,,
2409,,,,,,
2410,,,,,,
2411,,,,,,
2412,,,,,,
2413,,,,,,
2414,,,,,,
2415,,,,,,
2416,,,,,,
2417,,,,,,
2418,,,,,,
2419,,,,,,
2420,,,,,,
2421,,,,,,
2422,,,,,,
2423,,,,,,
2424,,,,,,
2425,,,,,,
2426,,,,,,
2427,,,,,,
2428,,,,,,
2429,,,,,,
2430,,,,,,
2431,,,,,,
2432,,,,,,
2433,,,,,,
2434,,,,,,
2435,,,,,,
2436,,,,,,
2437,,,,,,
2438,,,,,,
2439,,,,,,
2440,,,,,,
2441,,,,,,
2442,,,,,,
2443,,,,,,
2444,,,,,,
2445,,,,,,
2446,,,,,,
2447,,,,,,
2448,,,,,,
2449,,,,,,
2450,,,,,,
2451,,,,,,
2452,,,,,,
2453,,,,,,
2454,,,,,,
2455,,,,,,
2456,,,,,,
2457,,,,,,
2458,,,,,,
2459,,,,,,
2460,,,,,,
2461,,,,,,
2462,,,,,,
2463,,,,,,
2464,,,,,,
2465,,,,,,
2466,,,,,,
2467,,,,,,
2468,,,,,,
2469,,,,,,
2470,,,,,,
2471,,,,,,
2472,,,,,,
2473,,,,,,
2474,,,,,,
2475,,,,,,
2476,,,,,,
2477,,,,,,
2478,,,,,,
2479,,,,,,
2480,,,,,,
2481,,,,,,
2482,,,,,,
2483,,,,,,
2484,,,,,,
2485,,,,,,
2486,,,,,,
2487,,,,,,
2488,,,,,,
2489,,,,,,
2490,,,,,,
2491,,,,,,
2492,,,,,,
2493,,,,,,
2494,,,,,,
2495,,,,,,
2496,,,,,,
2497,,,,,,
2498,,,,,,
2499,,,,,,
2500,,,,,,
2501,,,,,,
2502,,,,,,
2503,,,,,,
2504,,,,,,
2505,,,,,,
2506,,,,,,
2507,,,,,,
2508,,,,,,
2509,,,,,,
2510,,,,,,
2511,,,,,,
2512,,,,,,
2513,,,,,,
2514,,,,,,
2515,,,,,,
2516,,,,,,
2517,,,,,,
2518,,,,,,
2519,,,,,,
2520,,,,,,
2521,,,,,,
2522,,,,,,
2523,,,,,,
2524,,,,,,
2525,,,,,,
2526,,,,,,
2527,,,,,,
2528,,,,,,
2529,,,,,,
2530,,,,,,
2531,,,,,,
2532,,,,,,
2533,,,,,,
2534,,,,,,
2535,,,,,,
2536,,,,,,
2537,,,,,,
2538,,,,,,
2539,,,,,,
2540,,,,,,
2541,,,,,,
2542,,,,,,
2543,,,,,,
2544,,,,,,
2545,,,,,,
2546,,,,,,
2547,,,,,,
2548,,,,,,
2549,,,,,,
2550,,,,,,
2551,,,,,,
2552,,,,,,
2553,,,,,,
2554,,,,,,
2555,,,,,,
2556,,,,,,
2557,,,,,,
2558,,,,,,
2559,,,,,,
2560,,,,,,
2561,,,,,,
2562,,,,,,
2563,,,,,,
2564,,,,,,
2565,,,,,,
2566,,,,,,
2567,,,,,,
2568,,,,,,
2569,,,,,,
2570,,,,,,
2571,,,,,,
2572,,,,,,
2573,,,,,,
2574,,,,,,
2575,,,,,,
2576,,,,,,
2577,,,,,,
2578,,,,,,
2579,,,,,,
2580,,,,,,
2581,,,,,,
2582,,,,,,
2583,,,,,,
2584,,,,,,
2585,,,,,,
2586,,,,,,
2587,,,,,,
2588,,,,,,
2589,,,,,,
2590,,,,,,
2591,,,,,,
2592,,,,,,
2593,,,,,,
2594,,,,,,
